franchise,pick_order,player_as_written,price,season
SAWYER'S PSYCHOS,12,JAXON DART,4,2026
SAWYER'S PSYCHOS,13,WANDALE ROBINSON,1,2026
EM 50s,1,AMON RA ST. BROWN,31,2026
EM 50s,2,JAVONTE WILLIAMS,24,2026
EM 50s,3,KA'IMI FAIRBARN,3,2026
EM 50s,4,KYREN WILLIAMS,24,2026
EM 50s,5,DE'ANDRE SWIFT,11,2026
EM 50s,6,PHILADELPHIA D,1,2026
EM 50s,7,TREVOR LAWRENCE,10,2026
EM 50s,8,TONY POLLARD,1,2026
EM 50s,9,MICHAEL PITTMAN JR,1,2026
EM 50s,10,DEEBO SAMUEL,1,2026
EM 50s,11,TYLER ALGEIR,1,2026
EM 50s,12,JAKOBI MEYERS,1,2026
EM 50s,13,ADONAI MITCHELL,1,2026
RAZZLE DAZZLE,1,JOSH ALLEN,32,2026
RAZZLE DAZZLE,2,SAQUON BARKLEY,30,2026
RAZZLE DAZZLE,3,COLSTON LOVELAND,10,2026
RAZZLE DAZZLE,4,TEE HIGGINS,11,2026
RAZZLE DAZZLE,5,HARRISON BUTKER,2,2026
RAZZLE DAZZLE,6,GARRETT WILSON,8,2026
RAZZLE DAZZLE,7,MINNESOTA D,1,2026
RAZZLE DAZZLE,8,TERRY MCCLAURIN,8,2026
RAZZLE DAZZLE,9,BAKER MAYFIELD,1,2026
RAZZLE DAZZLE,10,CHRIS GODWIN,1,2026
RAZZLE DAZZLE,11,KYLE MONANGAI,2,2026
RAZZLE DAZZLE,12,ROMEO DOUBS,1,2026
RAZZLE DAZZLE,13,ZACH CHARBONNET,3,2026
LEAN MEAN FIGHTING MACHINE,1,JUSTIN JEFFERSON,30,2026
LEAN MEAN FIGHTING MACHINE,2,CEE DEE LAMB,30,2026
LEAN MEAN FIGHTING MACHINE,3,BO NIX,1,2026
LEAN MEAN FIGHTING MACHINE,4,JOSH JACOBS,12,2026
LEAN MEAN FIGHTING MACHINE,5,JAKE BATES,1,2026
LEAN MEAN FIGHTING MACHINE,6,PITTSBURGH D,2,2026
LEAN MEAN FIGHTING MACHINE,7,MALIK NABORS,20,2026
LEAN MEAN FIGHTING MACHINE,8,PATRICK MAHOMES,1,2026
LEAN MEAN FIGHTING MACHINE,9,BREECE HALL,5,2026
LEAN MEAN FIGHTING MACHINE,10,JONATHAN BROOKS,5,2026
LEAN MEAN FIGHTING MACHINE,11,MATTHEW GOLDEN,1,2026
LEAN MEAN FIGHTING MACHINE,12,TRE TUCKER,1,2026
LEAN MEAN FIGHTING MACHINE,13,KENNETH GAINWELL,1,2026
OX'S MUD WRESTLERS,1,DE'VON ACHANE,27,2026
OX'S MUD WRESTLERS,2,KENNETH WALKER,29,2026
OX'S MUD WRESTLERS,3,LAMAR JACKSON,11,2026
OX'S MUD WRESTLERS,4,DAVONTA SMITH,19,2026
OX'S MUD WRESTLERS,5,ZAY FLOWERS,7,2026
OX'S MUD WRESTLERS,6,CARNELL TATE,5,2026
OX'S MUD WRESTLERS,7,JACKSONVILLE D,1,2026
OX'S MUD WRESTLERS,8,HARRISON MEVIS,1,2026
OX'S MUD WRESTLERS,9,BRIAN THOMAS JR,6,2026
OX'S MUD WRESTLERS,10,RASHAAD WHITE,1,2026
OX'S MUD WRESTLERS,11,AARON JONES,1,2026
OX'S MUD WRESTLERS,12,MAKAI LEMON,1,2026
OX'S MUD WRESTLERS,13,XAVIER WORTHY,1,2026
AGGRESSIVE GAMBLERS,1,JAMES COOK,28,2026
AGGRESSIVE GAMBLERS,2,JOE BURROW,20,2026
AGGRESSIVE GAMBLERS,3,ASHTON JEANTY,23,2026
AGGRESSIVE GAMBLERS,4,BRANDON AUBREY,4,2026
AGGRESSIVE GAMBLERS,5,JAYLEN WADDLE,20,2026
AGGRESSIVE GAMBLERS,6,DETROIT,1,2026
AGGRESSIVE GAMBLERS,7,GEORGE KITTLE,2,2026
AGGRESSIVE GAMBLERS,8,MARK ANDREWS,1,2026
AGGRESSIVE GAMBLERS,9,JORDAN LOVE,2,2026
AGGRESSIVE GAMBLERS,10,CHRIS BOSWELL,1,2026
AGGRESSIVE GAMBLERS,11,KHALIL SHAKIR,1,2026
AGGRESSIVE GAMBLERS,12,CHICAGO,1,2026
AGGRESSIVE GAMBLERS,13,RJ HARVEY,6,2026
BRAVO COMPANY,1,CHASE BROWN,26,2026
BRAVO COMPANY,2,HOUSTON D,3,2026
BRAVO COMPANY,3,GEORGE PICKENS,14,2026
BRAVO COMPANY,4,CHRIS OLAVE,20,2026
BRAVO COMPANY,5,CAM LITTLE,1,2026
BRAVO COMPANY,6,DJ MOORE,11,2026
BRAVO COMPANY,7,LUTHER BURDEN III,7,2026
BRAVO COMPANY,8,JARED GOFF,3,2026
BRAVO COMPANY,9,ROME ODUNZE,7,2026
BRAVO COMPANY,10,MATT STAFFORD,3,2026
BRAVO COMPANY,11,QUINSHON JUDKINS,5,2026
BRAVO COMPANY,12,BILL CROSKEY MERRIT,1,2026
BRAVO COMPANY,13,JOSH DOWNS,9,2026
